date,symbol,opening_range,risk_pct,tp_multiplier,direction,triggered,outcome,pnl,return_pct,orb_high,orb_low,orb_range
2025-10-07,XOM,15m,0.01,2.0,long,False,No Trade,0.0,0.0,114.51000213623048,113.58999633789062,0.920005798339858
2025-10-07,XOM,15m,0.01,2.0,short,True,TP,200.0,2.0,114.51000213623048,113.58999633789062,0.920005798339858
2025-10-07,XOM,15m,0.01,1.0,long,False,No Trade,0.0,0.0,114.51000213623048,113.58999633789062,0.920005798339858
2025-10-07,XOM,15m,0.01,1.0,short,True,TP,100.0,1.0,114.51000213623048,113.58999633789062,0.920005798339858
2025-10-07,XOM,15m,0.01,0.5,long,False,No Trade,0.0,0.0,114.51000213623048,113.58999633789062,0.920005798339858
2025-10-07,XOM,15m,0.01,0.5,short,True,TP,50.0,0.5,114.51000213623048,113.58999633789062,0.920005798339858
2025-10-07,XOM,15m,0.02,2.0,long,False,No Trade,0.0,0.0,114.51000213623048,113.58999633789062,0.920005798339858
2025-10-07,XOM,15m,0.02,2.0,short,True,TP,400.0,4.0,114.51000213623048,113.58999633789062,0.920005798339858
2025-10-07,XOM,15m,0.02,1.0,long,False,No Trade,0.0,0.0,114.51000213623048,113.58999633789062,0.920005798339858
2025-10-07,XOM,15m,0.02,1.0,short,True,TP,200.0,2.0,114.51000213623048,113.58999633789062,0.920005798339858
2025-10-07,XOM,15m,0.02,0.5,long,False,No Trade,0.0,0.0,114.51000213623048,113.58999633789062,0.920005798339858
2025-10-07,XOM,15m,0.02,0.5,short,True,TP,100.0,1.0,114.51000213623048,113.58999633789062,0.920005798339858
