date,symbol,opening_range,risk_pct,tp_multiplier,direction,triggered,outcome,pnl,return_pct,orb_high,orb_low,orb_range
2025-10-15,META,15m,0.01,2.0,long,True,SL,-100.0,-1.0,720.0150146484375,713.25,6.7650146484375
2025-10-15,META,15m,0.01,2.0,short,True,No Exit,0.0,0.0,720.0150146484375,713.25,6.7650146484375
2025-10-15,META,15m,0.01,1.0,long,True,SL,-100.0,-1.0,720.0150146484375,713.25,6.7650146484375
2025-10-15,META,15m,0.01,1.0,short,True,No Exit,0.0,0.0,720.0150146484375,713.25,6.7650146484375
2025-10-15,META,15m,0.01,0.5,long,True,TP,50.0,0.5,720.0150146484375,713.25,6.7650146484375
2025-10-15,META,15m,0.01,0.5,short,True,TP,50.0,0.5,720.0150146484375,713.25,6.7650146484375
2025-10-15,META,15m,0.02,2.0,long,True,SL,-200.0,-2.0,720.0150146484375,713.25,6.7650146484375
2025-10-15,META,15m,0.02,2.0,short,True,No Exit,0.0,0.0,720.0150146484375,713.25,6.7650146484375
2025-10-15,META,15m,0.02,1.0,long,True,SL,-200.0,-2.0,720.0150146484375,713.25,6.7650146484375
2025-10-15,META,15m,0.02,1.0,short,True,No Exit,0.0,0.0,720.0150146484375,713.25,6.7650146484375
2025-10-15,META,15m,0.02,0.5,long,True,TP,100.0,1.0,720.0150146484375,713.25,6.7650146484375
2025-10-15,META,15m,0.02,0.5,short,True,TP,100.0,1.0,720.0150146484375,713.25,6.7650146484375
