date,symbol,opening_range,risk_pct,tp_multiplier,direction,triggered,outcome,pnl,return_pct,orb_high,orb_low,orb_range
2025-10-22,GC=F,15m,0.01,2.0,long,True,No Exit,0.0,0.0,4101.0,4062.39990234375,38.60009765625
2025-10-22,GC=F,15m,0.01,2.0,short,True,SL,-100.0,-1.0,4101.0,4062.39990234375,38.60009765625
2025-10-22,GC=F,15m,0.01,1.0,long,True,No Exit,0.0,0.0,4101.0,4062.39990234375,38.60009765625
2025-10-22,GC=F,15m,0.01,1.0,short,True,SL,-100.0,-1.0,4101.0,4062.39990234375,38.60009765625
2025-10-22,GC=F,15m,0.01,0.5,long,True,TP,50.0,0.5,4101.0,4062.39990234375,38.60009765625
2025-10-22,GC=F,15m,0.01,0.5,short,True,TP,50.0,0.5,4101.0,4062.39990234375,38.60009765625
2025-10-22,GC=F,15m,0.02,2.0,long,True,No Exit,0.0,0.0,4101.0,4062.39990234375,38.60009765625
2025-10-22,GC=F,15m,0.02,2.0,short,True,SL,-200.0,-2.0,4101.0,4062.39990234375,38.60009765625
2025-10-22,GC=F,15m,0.02,1.0,long,True,No Exit,0.0,0.0,4101.0,4062.39990234375,38.60009765625
2025-10-22,GC=F,15m,0.02,1.0,short,True,SL,-200.0,-2.0,4101.0,4062.39990234375,38.60009765625
2025-10-22,GC=F,15m,0.02,0.5,long,True,TP,100.0,1.0,4101.0,4062.39990234375,38.60009765625
2025-10-22,GC=F,15m,0.02,0.5,short,True,TP,100.0,1.0,4101.0,4062.39990234375,38.60009765625
